PermissionAPI,PermissionName,AdminConsent,ConsentRisk,ConsentDisplayName,ConsentDescription,AdminConsentDisplayName,AdminConsentDescription,DelegatedPermissionId,ApplicationConsentDisplayName,ApplicationConsentDescription,ApplicationPermissionId
"Microsoft Graph","DeviceManagementServiceConfig.ReadWrite.All",true,,"Read and write Microsoft Intune configuration","Allows the app to read and write Microsoft Intune service properties including device enrollment and third party service connection configuration.","Read and write Microsoft Intune configuration","Allows the app to read and write Microsoft Intune service properties including device enrollment and third party service connection configuration.","662ed50a-ac44-4eef-ad86-62eed9be2a29","Read and write Microsoft Intune configuration","Allows the app to read and write Microsoft Intune service properties including device enrollment and third party service connection configuration, without a signed-in user.","5ac13192-7ace-4fcf-b828-1a26f28068ee"
"Microsoft Graph","Directory.AccessAsUser.All",true,,"Access the directory as you","Allows the app to have the same access to information in your work or school directory as you do.","Access directory as the signed in user","Allows the app to have the same access to information in the directory as the signed-in user.","0e263e50-5827-48a4-b97c-d940288653c7",,,
"Microsoft Graph","Directory.Read.All",true,,"Read directory data","Allows the app to read data in your organization's directory.","Read directory data","Allows the app to read data in your organization's directory, such as users, groups and apps.","06da0dbc-49e2-44d2-8312-53f166ab848a","Read directory data","Allows the app to read data in your organization's directory, such as users, groups and apps, without a signed-in user.","7ab1d382-f21e-4acd-a863-ba3e13f7da61"
"Microsoft Graph","Directory.ReadWrite.All",true,,"Read and write directory data","Allows the app to read and write data in your organization's directory, such as other users, groups.  It does not allow the app to delete users or groups, or reset user passwords.","Read and write directory data","Allows the app to read and write data in your organization's directory, such as users, and groups.  It does not allow the app to delete users or groups, or reset user passwords.","c5366453-9fb0-48a5-a156-24f0c49a4b84","Read and write directory data","Allows the app to read and write data in your organization's directory, such as users, and groups, without a signed-in user.  Does not allow user or group deletion.","19dbc75e-c2e2-444c-a770-ec69d8559fc7"
"Microsoft Graph","Directory.Write.Restricted",true,,"Manage restricted resources in the directory","Allows the app to manage restricted resources based on the other permissions granted to the app, on your behalf.","Manage restricted resources in the directory","Allows the app to manage restricted resources based on the other permissions granted to the app, on behalf of the signed-in user.","cba5390f-ed6a-4b7f-b657-0efc2210ed20","Manage restricted resources in the directory","Allows the app to manage restricted resources based on the other permissions granted to the app, without a signed-in user.","f20584af-9290-4153-9280-ff8bb2c0ea7f"
"Microsoft Graph","DirectoryRecommendations.Read.All",true,,"Read Azure AD recommendations","Allows the app to read Azure AD recommendations, on your behalf.","Read Azure AD recommendations","Allows the app to read Azure AD recommendations, on behalf of the signed-in user.","34d3bd24-f6a6-468c-b67c-0c365c1d6410","Read all Azure AD recommendations","Allows the app to read all Azure AD recommendations, without a signed-in user. ","ae73097b-cb2a-4447-b064-5d80f6093921"
"Microsoft Graph","DirectoryRecommendations.ReadWrite.All",true,,"Read and update Azure AD recommendations","Allows the app to read and update Azure AD recommendations, on your behalf.","Read and update Azure AD recommendations","Allows the app to read and update Azure AD recommendations, on behalf of the signed-in user. ","f37235e8-90a0-4189-93e2-e55b53867ccd","Read and update all Azure AD recommendations","Allows the app to read and update all Azure AD recommendations, without a signed-in user. ","0e9eea12-4f01-45f6-9b8d-3ea4c8144158"
"Microsoft Graph","Domain.Read.All",true,,"Read domains.","Allows the app to read all domain properties on your behalf.","Read domains.","Allows the app to read all domain properties on behalf of the signed-in user.","2f9ee017-59c1-4f1d-9472-bd5529a7b311","Read domains","Allows the app to read all domain properties without a signed-in user.","dbb9058a-0e50-45d7-ae91-66909b5d4664"
"Microsoft Graph","Domain.ReadWrite.All",true,,"Read and write domains","Allows the app to read and write all domain properties on your behalf. Also allows the app to add, verify and remove domains.","Read and write domains","Allows the app to read and write all domain properties on behalf of the signed-in user. Also allows the app to add, verify and remove domains.","0b5d694c-a244-4bde-86e6-eb5cd07730fe","Read and write domains","Allows the app to read and write all domain properties without a signed in user.  Also allows the app to add,  verify and remove domains.","7e05723c-0bb0-42da-be95-ae9f08a6e53c"
"Microsoft Graph","EAS.AccessAsUser.All",false,,"Access your mailboxes","Allows the app full access to your mailboxes on your behalf.","Access mailboxes via Exchange ActiveSync","Allows the app to have the same access to mailboxes as the signed-in user via Exchange ActiveSync.","ff91d191-45a0-43fd-b837-bd682c4a0b0f",,,
"Microsoft Graph","EWS.AccessAsUser.All",false,,"Access your mailboxes","Allows the app full access to your mailboxes on your behalf.","Access mailboxes as the signed-in user via Exchange Web Services","Allows the app to have the same access to mailboxes as the signed-in user via Exchange Web Services.","9769c687-087d-48ac-9cb3-c37dde652038",,,
"Microsoft Graph","EduAdministration.Read",true,,"View your education app settings","Allows the app to view the state and settings of all Microsoft education apps on your behalf.","Read education app settings","Read the state and settings of all Microsoft education apps on behalf of the user.","8523895c-6081-45bf-8a5d-f062a2f12c9f",,,
"Microsoft Graph","EduAdministration.Read.All",,,,,,,,"Read Education app settings","Read the state and settings of all Microsoft education apps.","7c9db06a-ec2d-4e7b-a592-5a1e30992566"
"Microsoft Graph","EduAdministration.ReadWrite",true,,"Manage your education app settings","Allows the app to manage the state and settings of all Microsoft education apps on your behalf.","Manage education app settings","Manage the state and settings of all Microsoft education apps on behalf of the user.","63589852-04e3-46b4-bae9-15d5b1050748",,,
"Microsoft Graph","EduAdministration.ReadWrite.All",,,,,,,,"Manage education app settings","Manage the state and settings of all Microsoft education apps.","9bc431c3-b8bc-4a8d-a219-40f10f92eff6"
"Microsoft Graph","EduAssignments.Read",true,,"View your assignments and grades","Allows the app to view your assignments on your behalf including grades.","Read users' class assignments and their grades","Allows the app to read assignments and their grades on behalf of the user.","091460c9-9c4a-49b2-81ef-1f3d852acce2",,,
"Microsoft Graph","EduAssignments.Read.All",,,,,,,,"Read class assignments with grades","Allows the app to read assignments and their grades for all users.","4c37e1b6-35a1-43bf-926a-6f30f2cdf585"
"Microsoft Graph","EduAssignments.ReadBasic",true,,"View your assignments without grades","Allows the app to view your assignments on your behalf without seeing grades.","Read users' class assignments without grades","Allows the app to read assignments without grades on behalf of the user.","c0b0103b-c053-4b2e-9973-9f3a544ec9b8",,,
"Microsoft Graph","EduAssignments.ReadBasic.All",,,,,,,,"Read class assignments without grades","Allows the app to read assignments without grades for all users.","6e0a958b-b7fc-4348-b7c4-a6ab9fd3dd0e"
"Microsoft Graph","EduAssignments.ReadWrite",true,,"View and modify your assignments and grades","Allows the app to view and modify your assignments on your behalf including  grades.","Read and write users' class assignments and their grades","Allows the app to read and write assignments and their grades on behalf of the user.","2f233e90-164b-4501-8bce-31af2559a2d3",,,
"Microsoft Graph","EduAssignments.ReadWrite.All",,,,,,,,"Read and write class assignments with grades","Allows the app to read and write assignments and their grades for all users.","0d22204b-6cad-4dd0-8362-3e3f2ae699d9"
"Microsoft Graph","EduAssignments.ReadWriteBasic",true,,"View and modify your assignments without grades","Allows the app to view and modify your assignments on your behalf without seeing grades.","Read and write users' class assignments without grades","Allows the app to read and write assignments without grades on behalf of the user.","2ef770a1-622a-47c4-93ee-28d6adbed3a0",,,
"Microsoft Graph","EduAssignments.ReadWriteBasic.All",,,,,,,,"Read and write class assignments without grades","Allows the app to read and write assignments without grades for all users.","f431cc63-a2de-48c4-8054-a34bc093af84"
"Microsoft Graph","EduRoster.Read",true,,"View your school, class and user information","Allows the app to view information about schools and classes in your organization and education-related information about you and other users on your behalf.","Read users' view of the roster","Allows the app to read the structure of schools and classes in an organization's roster and education-specific information about users to be read on behalf of the user.","a4389601-22d9-4096-ac18-36a927199112",,,
"Microsoft Graph","EduRoster.Read.All",,,,,,,,"Read the organization's roster","Allows the app to read the structure of schools and classes in the organization's roster and education-specific information about all users to be read.","e0ac9e1b-cb65-4fc5-87c5-1a8bc181f648"
"Microsoft Graph","EduRoster.ReadBasic",true,,"View a limited subset of your school, class and user information","Allows the app to view minimal  information about both schools and classes in your organization and education-related information about you and other users on your behalf.","Read a limited subset of users' view of the roster","Allows the app to read a limited subset of the properties from the structure of schools and classes in an organization's roster and a limited subset of properties about users to be read on behalf of the user. Includes name, status, education role, email address and photo.","5d186531-d1bf-4f07-8cea-7c42119e1bd9",,,
"Microsoft Graph","EduRoster.ReadBasic.All",,,,,,,,"Read a limited subset of the organization's roster","Allows the app to read a limited subset of properties from both the structure of schools and classes in the organization's roster and education-specific information about all users. Includes name, status, role, email address and photo.","0d412a8c-a06c-439f-b3ec-8abcf54d2f96"
"Microsoft Graph","EduRoster.ReadWrite",true,,"View and modify your school, class and user information","Allows the app to view and modify information about schools and classes in your organization and education-related information about you and other users on your behalf.","Read and write users' view of the roster","Allows the app to read and write the structure of schools and classes in an organization's roster and education-specific information about users to be read and written on behalf of the user.","359e19a6-e3fa-4d7f-bcab-d28ec592b51e",,,
"Microsoft Graph","EduRoster.ReadWrite.All",,,,,,,,"Read and write the organization's roster","Allows the app to read and write the structure of schools and classes in the organization's roster and education-specific information about all users to be read and written.","d1808e82-ce13-47af-ae0d-f9b254e6d58a"
"Microsoft Graph","EntitlementManagement.Read.All",true,,"Read all entitlement management resources","Allows the app to read access packages and related entitlement management resources that you have access to.","Read all entitlement management resources","Allows the app to read access packages and related entitlement management resources on behalf of the signed-in user.","5449aa12-1393-4ea2-a7c7-d0e06c1a56b2","Read all entitlement management resources","Allows the app to read access packages and related entitlement management resources without a signed-in user.","c74fd47d-ed3c-45c3-9a9e-b8676de685d2"
"Microsoft Graph","EntitlementManagement.ReadWrite.All",true,,"Read and write entitlement management resources","Allows the app to request access to and management of access packages and related entitlement management resources that you have access to.","Read and write entitlement management resources","Allows the app to request access to and management of access packages and related entitlement management resources on behalf of the signed-in user.","ae7a573d-81d7-432b-ad44-4ed5c9d89038","Read and write all entitlement management resources","Allows the app to read and write access packages and related entitlement management resources without a signed-in user.","9acd699f-1e81-4958-b001-93b1d2506e19"
"Microsoft Graph","ExternalConnection.Read.All",true,,"Read all external connections","Allows the app to read all external connections on your behalf. The signed-in user must be an administrator.","Read all external connections","Allows the app to read all external connections on behalf of a signed-in user. The signed-in user must be an administrator.","a38267a5-26b6-4d76-9493-935b7599116b","Read all external connections","Allows the app to read all external connections without a signed-in user.","1914711b-a1cb-4793-b019-c2ce0ed21b8c"
"Microsoft Graph","ExternalConnection.ReadWrite.All",true,,"Read and write all external connections","Allows the app to read and write all external connections on your behalf. The signed-in user must be an administrator.","Read and write all external connections","Allows the app to read and write all external connections on behalf of a signed-in user. The signed-in user must be an administrator.","bbbbd9b3-3566-4931-ac37-2b2180d9e334","Read and write all external connections","Allows the app to read and write all external connections without a signed-in user.","34c37bc0-2b40-4d5e-85e1-2365cd256d79"
"Microsoft Graph","ExternalConnection.ReadWrite.OwnedBy",true,,"Read and write external connections","Allows the app to read and write external connections on your behalf. The signed-in user must be an administrator. The app can only read and write external connections that it is authorized to, or it can create new external connections. ","Read and write external connections","Allows the app to read and write settings of external connections on behalf of a signed-in user. The signed-in user must be an administrator. The app can only read and write settings of connections that it is authorized to.","4082ad95-c812-4f02-be92-780c4c4f1830","Read and write external connections","Allows the app to read and write external connections without a signed-in user. The app can only read and write external connections that it is authorized to, or it can create new external connections. ","f431331c-49a6-499f-be1c-62af19c34a9d"
"Microsoft Graph","ExternalItem.Read.All",true,,"Read items in external datasets","Allows the app to read external datasets and content that you have access to.","Read items in external datasets","Allow the app to read external datasets and content, on behalf of the signed-in user.","922f9392-b1b7-483c-a4be-0089be7704fb","Read all external items","Allows the app to read all external items without a signed-in user.","7a7cffad-37d2-4f48-afa4-c6ab129adcc2"
"Microsoft Graph","ExternalItem.ReadWrite.All",true,,"Read and write all external items","Allows the app to read and write all external items on your behalf. The signed-in user must be an administrator.","Read and write all external items","Allows the app to read and write all external items on behalf of a signed-in user. The signed-in user must be an administrator.","b02c54f8-eb48-4c50-a9f0-a149e5a2012f","Read and write items in external datasets","Allow the app to read or write items in all external datasets that the app is authorized to access","38c3d6ee-69ee-422f-b954-e17819665354"
"Microsoft Graph","ExternalItem.ReadWrite.OwnedBy",true,,"Read and write external items","Allows the app to read and write external items on your behalf. The signed-in user must be an administrator. The app can only read external items of the connection that it is authorized to.","Read and write external items","Allows the app to read and write external items on behalf of a signed-in user. The signed-in user must be an administrator. The app can only read external items of the connection that it is authorized to.","4367b9d7-cee7-4995-853c-a0bdfe95c1f9","Read and write external items","Allows the app to read and write external items without a signed-in user. The app can only read external items of the connection that it is authorized to.","8116ae0f-55c2-452d-9944-d18420f5b2c8"
"Microsoft Graph","Family.Read",false,,"Read your family info","Allows the app to read your family information, members and their basic profile.","Read your family info","Allows the app to read your family information, members and their basic profile.","3a1e4806-a744-4c70-80fc-223bf8582c46",,,
"Microsoft Graph","Files.Read",false,,"Read your files","Allows the app to read your files.","Read user files","Allows the app to read the signed-in user's files.","10465720-29dd-4523-a11a-6a75c743c9d9",,,
"Microsoft Graph","Files.Read.All",false,,"Read all files that you have access to","Allows the app to read all files you can access.","Read all files that user can access","Allows the app to read all files the signed-in user can access.","df85f4d6-205c-4ac5-a5ea-6bf408dba283","Read files in all site collections","Allows the app to read all files in all site collections without a signed in user.","01d4889c-1287-42c6-ac1f-5d1e02578ef6"
"Microsoft Graph","Files.Read.Selected",false,,"Read selected files","(Preview) Allows the app to read files that you select. After you select a file, the app has access to the file for several hours.","Read files that the user selects (preview)","(Preview) Allows the app to read files that the user selects. The app has access for several hours after the user selects a file.","5447fe39-cb82-4c1a-b977-520e67e724eb",,,
"Microsoft Graph","Files.ReadWrite",false,,"Have full access to your files","Allows the app to read, create, update, and delete your files.","Have full access to user files","Allows the app to read, create, update and delete the signed-in user's files.","5c28f0bf-8a70-41f1-8ab2-9032436ddb65",,,
"Microsoft Graph","Files.ReadWrite.All",false,,"Have full access to all files you have access to","Allows the app to read, create, update and delete all files that you can access.","Have full access to all files user can access","Allows the app to read, create, update and delete all files the signed-in user can access.","863451e7-0667-486c-a5d6-d135439485f0","Read and write files in all site collections","Allows the app to read, create, update and delete all files in all site collections without a signed in user. ","75359482-378d-4052-8f01-80520e7db3cd"
"Microsoft Graph","Files.ReadWrite.AppFolder",false,,"Have full access to the application's folder","(Preview) Allows the app to read, create, update and delete files in the application's folder.","Have full access to the application's folder (preview)","(Preview) Allows the app to read, create, update and delete files in the application's folder.","8019c312-3263-48e6-825e-2b833497195b",,,
"Microsoft Graph","Files.ReadWrite.Selected",false,,"Read and write selected files","(Preview) Allows the app to read and write files that you select. After you select a file, the app has access to the file for several hours.","Read and write files that the user selects (preview)","(Preview) Allows the app to read and write files that the user selects. The app has access for several hours after the user selects a file.","17dde5bd-8c17-420f-a486-969730c1b827",,,
"Microsoft Graph","Financials.ReadWrite.All",false,,"Read and write financials data","Allows the app to read and write financials data on your behalf.","Read and write financials data","Allows the app to read and write financials data on behalf of the signed-in user.","f534bf13-55d4-45a9-8f3c-c92fe64d6131",,,
"Microsoft Graph","Group.Create",,,,,,,,"Create groups","Allows the app to create groups without a signed-in user.","bf7b1a76-6e77-406b-b258-bf5c7720e98f"
"Microsoft Graph","Group.Read.All",true,,"Read all groups","Allows the app to list groups, and to read their properties and all group memberships on your behalf.  Also allows the app to read calendar, conversations, files, and other group content for all groups you can access.  ","Read all groups","Allows the app to list groups, and to read their properties and all group memberships on behalf of the signed-in user.  Also allows the app to read calendar, conversations, files, and other group content for all groups the signed-in user can access. ","5f8c59db-677d-491f-a6b8-5f174b11ec1d","Read all groups","Allows the app to read group properties and memberships, and read the calendar and conversations for all groups, without a signed-in user.","5b567255-7703-4780-807c-7be8301ae99b"
"Microsoft Graph","Group.ReadWrite.All",true,,"Read and write all groups","Allows the app to create groups and read all group properties and memberships on your behalf.  Additionally allows the app to manage your groups and to update group content for groups you are a member of.","Read and write all groups","Allows the app to create groups and read all group properties and memberships on behalf of the signed-in user.  Additionally allows group owners to manage their groups and allows group members to update group content.","4e46008b-f24c-477d-8fff-7bb4ec7aafe0","Read and write all groups","Allows the app to create groups, read all group properties and memberships, update group properties and memberships, and delete groups. Also allows the app to read and write group calendar and conversations.  All of these operations can be performed by the app without a signed-in user.","62a82d76-70ea-41e2-9197-370581804d09"
"Microsoft Graph","GroupMember.Read.All",true,,"Read group memberships","Allows the app to list groups, read basic group properties and read membership of all your groups.","Read group memberships","Allows the app to list groups, read basic group properties and read membership of all groups the signed-in user has access to.","bc024368-1153-4739-b217-4326f2e966d0","Read all group memberships","Allows the app to read memberships and basic group properties for all groups without a signed-in user.","98830695-27a2-44f7-8c18-0c3ebc9698f6"
"Microsoft Graph","GroupMember.ReadWrite.All",true,,"Read and write group memberships","Allows the app to list groups, read basic properties, read and update the membership of your groups. Group properties and owners cannot be updated and groups cannot be deleted.","Read and write group memberships","Allows the app to list groups, read basic properties, read and update the membership of the groups the signed-in user has access to. Group properties and owners cannot be updated and groups cannot be deleted.","f81125ac-d3b7-4573-a3b2-7099cc39df9e","Read and write all group memberships","Allows the app to list groups, read basic properties, read and update the membership of the groups this app has access to without a signed-in user. Group properties and owners cannot be updated and groups cannot be deleted.","dbaae8cf-10b5-4b86-a4a1-f871c94c6695"
"Microsoft Graph","IMAP.AccessAsUser.All",false,,"Read and write access to your mail.","Allows the app to read, update, create and delete email in your mailbox. Does not include permission to send mail.","Read and write access to mailboxes via IMAP.","Allows the app to have the same access to mailboxes as the signed-in user via IMAP protocol.","652390e4-393a-48de-9484-05f9b1212954",,,
"Microsoft Graph","IdentityProvider.Read.All",true,,"Read identity providers","Allows the app to read your organization’s identity (authentication) providers’ properties on your behalf.","Read identity providers","Allows the app to read your organization’s identity (authentication) providers’ properties on behalf of the user.","43781733-b5a7-4d1b-98f4-e8edff23e1a9","Read identity providers","Allows the app to read your organization’s identity (authentication) providers’ properties without a signed in user.","e321f0bb-e7f7-481e-bb28-e3b0b32d4bd0"
"Microsoft Graph","IdentityProvider.ReadWrite.All",true,,"Read and write identity providers","Allows the app to read and write your organization’s identity (authentication) providers’ properties on your behalf.","Read and write identity providers","Allows the app to read and write your organization’s identity (authentication) providers’ properties on behalf of the user.","f13ce604-1677-429f-90bd-8a10b9f01325","Read and write identity providers","Allows the app to read and write your organization’s identity (authentication) providers’ properties without a signed in user.","90db2b9a-d928-4d33-a4dd-8442ae3d41e4"
"Microsoft Graph","IdentityRiskEvent.Read.All",true,,"Read identity risk event information","Allows the app to read identity risk event information for all users in your organization on behalf of the signed-in user. ","Read identity risk event information","Allows the app to read identity risk event information for all users in your organization on behalf of the signed-in user. ","8f6a01e7-0391-4ee5-aa22-a3af122cef27","Read all identity risk event information","Allows the app to read the identity risk event information for your organization without a signed in user.","6e472fd1-ad78-48da-a0f0-97ab2c6b769e"
"Microsoft Graph","IdentityRiskEvent.ReadWrite.All",true,,"Read and write risk event information","Allows the app to read and update identity risk event information for all users in your organization on your behalf. Update operations include confirming risk event detections. ","Read and write risk event information","Allows the app to read and update identity risk event information for all users in your organization on behalf of the signed-in user. Update operations include confirming risk event detections. ","9e4862a5-b68f-479e-848a-4e07e25c9916","Read and write all risk detection information","Allows the app to read and update identity risk detection information for your organization without a signed-in user. Update operations include confirming risk event detections. ","db06fb33-1953-4b7b-a2ac-f1e2c854f7ae"
"Microsoft Graph","IdentityRiskyServicePrincipal.Read.All",true,,"Read all identity risky service principal information","Allows the app to read all identity risky service principal information for your organization, on your behalf.","Read all identity risky service principal information","Allows the app to read all identity risky service principal information for your organization, on behalf of the signed-in user.","ea5c4ab0-5a73-4f35-8272-5d5337884e5d","Read all identity risky service principal information","Allows the app to read all risky service principal information for your organization, without a signed-in user.","607c7344-0eed-41e5-823a-9695ebe1b7b0"
"Microsoft Graph","IdentityRiskyServicePrincipal.ReadWrite.All",true,,"Read and write all identity risky service principal information","Allows the app to read and update identity risky service principal information for all service principals in your organization, on your behalf. Update operations include dismissing risky service principals.","Read and write all identity risky service principal information","Allows the app to read and update identity risky service principal information for all service principals in your organization, on behalf of the signed-in user. Update operations include dismissing risky service principals.","bb6f654c-d7fd-4ae3-85c3-fc380934f515","Read and write all identity risky service principal information","Allows the app to read and update identity risky service principal for your organization, without a signed-in user.","cb8d6980-6bcb-4507-afec-ed6de3a2d798"
"Microsoft Graph","IdentityRiskyUser.Read.All",true,,"Read identity risky user information","Allows the app to read identity risky user information for all users in your organization on behalf of the signed-in user.","Read identity risky user information","Allows the app to read identity risky user information for all users in your organization on behalf of the signed-in user.","d04bb851-cb7c-4146-97c7-ca3e71baf56c","Read all identity risky user information","Allows the app to read the identity risky user information for your organization without a signed in user.","dc5007c0-2d7d-4c42-879c-2dab87571379"
"Microsoft Graph","IdentityRiskyUser.ReadWrite.All",true,,"Read and write identity risky user information","Allows the app to read and update identity risky user information for all users in your organization on your behalf. Update operations include dismissing risky users.","Read and write risky user information","Allows the app to read and update identity risky user information for all users in your organization on behalf of the signed-in user. Update operations include dismissing risky users.","e0a7cdbb-08b0-4697-8264-0069786e9674","Read and write all risky user information","Allows the app to read and update identity risky user information for your organization without a signed-in user.  Update operations include dismissing risky users.","656f6061-f9fe-4807-9708-6a2e0934df76"
"Microsoft Graph","IdentityUserFlow.Read.All",true,,"Read all identity user flows","Allows the app to read your organization's user flows, on your behalf.","Read all identity user flows","Allows the app to read your organization's user flows, on behalf of the signed-in user.","2903d63d-4611-4d43-99ce-a33f3f52e343","Read all identity user flows","Allows the app to read your organization's user flows, without a signed-in user.","1b0c317f-dd31-4305-9932-259a8b6e8099"
"Microsoft Graph","IdentityUserFlow.ReadWrite.All",true,,"Read and write all identity user flows","Allows the app to read or write your organization's user flows, on your behalf.","Read and write all identity user flows","Allows the app to read or write your organization's user flows, on behalf of the signed-in user.","281892cc-4dbf-4e3a-b6cc-b21029bb4e82","Read and write all identity user flows","Allows the app to read or write your organization's user flows, without a signed-in user.","65319a09-a2be-469d-8782-f6b07debf789"
"Microsoft Graph","InformationProtectionContent.Sign.All",,,,,,,,"Sign digests for data","Allows an app to sign digests for data without a signed-in user.","cbe6c7e4-09aa-4b8d-b3c3-2dbb59af4b54"
"Microsoft Graph","InformationProtectionContent.Write.All",,,,,,,,"Create protected content","Allows the app to create protected content without a signed-in user. ","287bd98c-e865-4e8c-bade-1a85523195b9"
"Microsoft Graph","InformationProtectionPolicy.Read",false,,"Read user sensitivity labels and label policies.","Allows an app to read information protection sensitivity labels and label policy settings, on behalf of the signed-in user.","Read user sensitivity labels and label policies.","Allows an app to read information protection sensitivity labels and label policy settings, on behalf of the signed-in user.","4ad84827-5578-4e18-ad7a-86530b12f884",,,
"Microsoft Graph","InformationProtectionPolicy.Read.All",,,,,,,,"Read all published labels and label policies for an organization.","Allows an app to read published sensitivity labels and label policy settings for the entire organization or a specific user, without a signed in user.","19da66cb-0fb0-4390-b071-ebc76a349482"
"Microsoft Graph","LicenseAssignment.ReadWrite.All",true,,"Manage all license assignments","Allows the app to manage all license assignments, on your behalf.","Manage all license assignments","Allows an app to manage license assignments for users and groups, on behalf of the signed-in user.","f55016cc-149c-447e-8f21-7cf3ec1d6350","Manage all license assignments","Allows an app to manage license assignments for users and groups, without a signed-in user.","5facf0c1-8979-4e95-abcf-ff3d079771c0"
"Microsoft Graph","Mail.Read",false,,"Read your mail ","Allows the app to read email in your mailbox. ","Read user mail ","Allows the app to read the signed-in user's mailbox.","570282fd-fa5c-430d-a7fd-fc8dc98a9dca","Read mail in all mailboxes","Allows the app to read mail in all mailboxes without a signed-in user.","810c84a8-4a9e-49e6-bf7d-12d183f40d01"
"Microsoft Graph","Mail.Read.Shared",false,,"Read mail you can access","Allows the app to read mail you can access, including shared mail.","Read user and shared mail","Allows the app to read mail a user can access, including their own and shared mail.","7b9103a5-4610-446b-9670-80643382c1fa",,,
"Microsoft Graph","Mail.ReadBasic",false,,"Read user basic mail","Allows the app to read email in the signed-in user's mailbox except body, previewBody, attachments and any extended properties.","Read user basic mail","Allows the app to read email in the signed-in user's mailbox except body, previewBody, attachments and any extended properties.","a4b8392a-d8d1-4954-a029-8e668a39a170","Read basic mail in all mailboxes","Allows the app to read basic mail properties in all mailboxes without a signed-in user. Includes all properties except body, previewBody, attachments and any extended properties.","6be147d2-ea4f-4b5a-a3fa-3eab6f3c140a"
"Microsoft Graph","Mail.ReadBasic.All",,,,,,,,"Read basic mail in all mailboxes","Allows the app to read basic mail properties in all mailboxes without a signed-in user. Includes all properties except body, previewBody, attachments and any extended properties.","693c5e45-0940-467d-9b8a-1022fb9d42ef"
"Microsoft Graph","Mail.ReadWrite",false,,"Read and write access to your mail ","Allows the app to read, update, create and delete email in your mailbox. Does not include permission to send mail. ","Read and write access to user mail ","Allows the app to create, read, update, and delete email in user mailboxes. Does not include permission to send mail. ","024d486e-b451-40bb-833d-3e66d98c5c73","Read and write mail in all mailboxes","Allows the app to create, read, update, and delete mail in all mailboxes without a signed-in user. Does not include permission to send mail.","e2a3a72e-5f79-4c64-b1b1-878b674786c9"
"Microsoft Graph","Mail.ReadWrite.Shared",false,,"Read and write mail you can access","Allows the app to read, update, create, and delete mail you have permission to access, including your own and shared mail. Does not allow the app to send mail on your behalf.","Read and write user and shared mail","Allows the app to create, read, update, and delete mail a user has permission to access, including their own and shared mail. Does not include permission to send mail.","5df07973-7d5d-46ed-9847-1271055cbd51",,,
"Microsoft Graph","Mail.Send",false,,"Send mail as you ","Allows the app to send mail as you. ","Send mail as a user ","Allows the app to send mail as users in the organization. ","e383f46e-2787-4529-855e-0e479a3ffac0","Send mail as any user","Allows the app to send mail as any user without a signed-in user.","b633e1c5-b582-4048-a93e-9f11b44c7e96"
"Microsoft Graph","Mail.Send.Shared",false,,"Send mail on behalf of others or yourself","Allows the app to send mail as you or on-behalf of someone else.","Send mail on behalf of others","Allows the app to send mail as the signed-in user, including sending on-behalf of others.","a367ab51-6b49-43bf-a716-a1fb06d2a174",,,
"Microsoft Graph","MailboxSettings.Read",false,,"Read your mailbox settings","Allows the app to read your mailbox settings.","Read user mailbox settings","Allows the app to the read user's mailbox settings. Does not include permission to send mail.","87f447af-9fa4-4c32-9dfa-4a57a73d18ce","Read all user mailbox settings","Allows the app to read user's mailbox settings without a signed-in user. Does not include permission to send mail.","40f97065-369a-49f4-947c-6a255697ae91"
"Microsoft Graph","MailboxSettings.ReadWrite",false,,"Read and write to your mailbox settings","Allows the app to read, update, create, and delete your mailbox settings.","Read and write user mailbox settings","Allows the app to create, read, update, and delete user's mailbox settings. Does not include permission to send mail.","818c620a-27a9-40bd-a6a5-d96f7d610b4b","Read and write all user mailbox settings","Allows the app to create, read, update, and delete user's mailbox settings without a signed-in user. Does not include permission to send mail.","6931bccd-447a-43d1-b442-00a195474933"
"Microsoft Graph","ManagedTenants.Read.All",true,,"Read all managed tenant information","Allows the app to read all managed tenant information on your behalf.","Read all managed tenant information","Allows the app to read all managed tenant information on behalf of the signed-in user.","dc34164e-6c4a-41a0-be89-3ae2fbad7cd3",,,
"Microsoft Graph","ManagedTenants.ReadWrite.All",true,,"Read and write all managed tenant information","Allows the app to read and write all managed tenant information on your behalf.","Read and write all managed tenant information","Allows the app to read and write all managed tenant information on behalf of the signed-in user.","b31fa710-c9b3-4d9e-8f5e-8036eecddab9",,,
"Microsoft Graph","Member.Read.Hidden",true,,"Read your hidden memberships","Allows the app to read the memberships of hidden groups or administrative units on your behalf, for those hidden groups or adminstrative units that you have access to.","Read hidden memberships","Allows the app to read the memberships of hidden groups and administrative units on behalf of the signed-in user, for those hidden groups and administrative units that the signed-in user has access to.","f6a3db3e-f7e8-4ed2-a414-557c8c9830be","Read all hidden memberships","Allows the app to read the memberships of hidden groups and administrative units without a signed-in user.","658aa5d8-239f-45c4-aa12-864f4fc7e490"
"Microsoft Graph","Notes.Create",false,,"Create your OneNote notebooks","Allows the app to view the titles of your OneNote notebooks and sections and to create new pages, notebooks, and sections on your behalf.","Create user OneNote notebooks","Allows the app to read the titles of OneNote notebooks and sections and to create new pages, notebooks, and sections on behalf of the signed-in user.","9d822255-d64d-4b7a-afdb-833b9a97ed02",,,
